Current	VoltageA (50mV/1000A)	uV-0.024	6.430
-0.023	6.436
-0.024	6.439
-0.023	6.431
-0.023	6.438
-0.024	6.417
-0.024	6.449
-0.024	6.473
-0.024	6.418
-0.023	6.442
-0.024	6.413
-0.023	6.416
-0.024	6.424
-0.024	6.426
-0.024	6.436
-0.024	6.412
-0.024	6.409
-0.024	6.439
-0.024	6.427
0.089	6.473
0.271	6.464
0.388	6.488
0.550	6.460
0.662	6.446
0.771	6.460
0.879	6.441
0.988	6.441
1.136	6.442
1.243	6.450
1.347	6.449
1.451	6.469
1.553	6.541
1.699	6.442
1.800	6.453
1.900	6.473
2.001	6.452
2.100	6.430
2.242	6.436
2.341	6.477
2.440	6.430
2.538	6.454
2.635	6.483
2.774	6.451
2.872	6.454
2.970	6.487
3.066	6.653
3.540	6.438
3.927	6.494
4.188	6.607
4.442	6.507
4.692	6.617
4.937	6.613
5.278	6.571
5.514	6.611
5.748	6.502
5.979	6.671
6.206	6.546
6.529	6.564
6.752	6.502
6.973	6.506
7.192	6.406
7.410	6.577
7.719	6.608
7.934	6.490
8.148	6.452
8.363	6.673
8.577	6.579
8.882	6.572
9.094	6.560
9.304	6.468
9.515	6.552
9.726	6.601
10.022	6.447
10.231	6.500
10.439	6.620
10.646	6.620
10.858	6.472
11.153	6.564
11.361	6.547
11.569	6.529
11.777	6.529
11.981	6.516
12.278	6.536
12.485	6.462
12.691	6.582
12.900	6.559
13.105	6.537
13.400	6.550
13.605	6.520
13.813	6.509
14.019	6.525
14.224	6.533
14.518	6.667
14.725	6.526
14.931	6.447
15.137	6.534
15.342	6.531
15.636	6.465
15.841	6.481
16.046	6.551
16.254	6.488
16.460	6.483
16.751	6.502
16.960	6.519
17.166	6.529
17.371	6.515
17.575	6.445
17.872	6.473
18.077	6.501
18.281	6.458
18.488	6.574
18.694	6.559
18.990	6.901
19.193	6.621
19.400	6.488
19.603	6.595
19.809	6.425
20.104	6.602
20.307	6.826
20.517	6.518
20.722	6.619
20.927	6.554
21.221	6.478
21.424	6.645
21.632	6.569
21.837	6.633
22.043	6.486
22.337	6.679
22.542	6.523
22.748	6.554
22.953	6.577
23.158	6.457
23.455	6.598
23.657	6.591
23.864	6.621
24.069	6.639
24.273	6.510
24.567	6.689
24.774	6.504
24.978	6.605
25.185	6.568
25.389	6.681
25.685	6.402
25.892	6.703
26.098	6.632
26.301	6.437
26.506	6.675
26.800	6.649
27.006	6.756
27.213	6.684
27.417	6.525
27.622	6.442
27.915	6.701
28.120	6.634
28.324	6.590
28.532	6.541
28.737	6.526
29.030	6.341
29.236	6.577
29.441	6.228
29.647	6.564
29.853	6.617
30.146	6.690
30.351	6.600
30.557	6.668
30.762	6.430
30.967	6.521
31.261	6.621
31.465	6.823
31.671	6.637
31.878	6.649
32.082	6.528
32.375	6.565
32.580	6.679
32.786	6.797
32.992	6.500
33.197	6.371
33.489	6.542
33.695	6.731
33.898	6.369
34.107	6.588
34.311	6.546
34.604	6.552
34.808	6.555
35.015	6.499
35.219	6.632
35.424	6.610
35.717	6.624
35.924	6.426
36.128	6.856
36.332	6.739
36.538	6.668
36.831	6.524
37.036	6.734
37.242	6.617
37.445	6.673
37.650	6.596
37.944	6.709
38.147	7.099
38.355	6.769
38.558	6.518
38.764	6.638
39.057	6.698
39.264	6.679
39.467	6.628
39.673	6.530
39.879	6.544
40.173	6.758
40.374	6.487
40.581	6.572
40.784	6.621
40.990	6.686
41.282	6.513
41.487	6.660
41.691	6.527
41.896	6.524
42.101	6.535
42.396	6.740
42.597	6.445
42.805	6.776
43.011	6.666
43.215	6.615
43.508	6.806
43.710	6.505
43.917	6.682
44.122	6.781
44.327	6.612
44.621	6.881
44.824	6.510
45.027	6.547
45.232	6.532
45.438	6.644
45.729	6.510
45.933	6.717
46.138	7.089
46.341	6.304
46.547	6.590
46.838	6.473
47.042	6.630
47.247	6.746
47.452	6.662
47.655	6.707
47.949	6.709
48.153	6.544
48.357	6.679
48.560	6.801
48.765	6.653
49.056	6.745
49.259	6.574
49.464	6.743
49.666	6.556
49.871	6.536
50.163	6.594
50.368	6.774
50.573	6.730
50.775	6.691
50.981	6.634
51.270	6.446
51.348	6.521
51.401	6.984
51.465	6.527
51.527	6.489
51.618	6.521
51.680	6.493
51.744	6.425
51.808	6.510
51.870	6.497
51.958	6.592
52.020	6.452
52.085	6.502
52.147	6.468
52.210	6.499
52.300	6.429
52.363	6.452
52.426	6.488
52.488	6.522
52.549	6.472
52.641	6.500
52.703	6.531
52.765	6.519
52.828	6.473
52.889	6.468
52.980	6.525
53.041	6.553
53.104	6.494
53.167	6.487
53.231	6.487
